TBCP_00   ;   Tempo : 00:00:00   ;   Registros : 120   ;   ORM
TLFS_00   ;   Tempo : 00:00:03   ;   Registros : 486   ;   CopyRecord
TMDO_00   ;   Tempo : 00:00:00   ;   Registros : 30   ;   ORM
TPDC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TXML_MDFE_00_01   ;   Tempo : 00:00:01   ;   Registros : 174   ;   ORM
TTDC_00   ;   Tempo : 00:00:00   ;   Registros : 5   ;   ORM
TCONFIG_00_03   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TORS_00_01_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSCT_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMAR_00   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TFLP_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMNF_00   ;   Tempo : 00:00:00   ;   Registros : 33   ;   ORM
TCONFIG_00_06   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TTRC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TGNRE_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TTPO_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCCP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCOMPANY   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TFAT_00_02   ;   Tempo : 00:00:10   ;   Registros : 919   ;   ORM
TCDV_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TDRQ_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFUN_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLEF_00   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TETQ_00   ;   Tempo : 00:00:08   ;   Registros : 8340   ;   CopyDataSet
TFAT_00_07   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TINV_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPES_00_05   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCPA_00   ;   Tempo : 00:00:17   ;   Registros : 12402   ;   CopyDataSet
TLFS_00_04   ;   Tempo : 00:00:02   ;   Registros : 477   ;   ORM
TVEF_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TVEI_00_03   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TOMF_00_05   ;   Tempo : 00:00:23   ;   Registros : 2456   ;   ORM
TTRC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCPA_00_03_01   ;   Tempo : 00:00:12   ;   Registros : 13915   ;   CopyDataSet
TLIC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFE_00_05   ;   Tempo : 00:00:18   ;   Registros : 5107   ;   ORM
TCTA_00_03   ;   Tempo : 00:00:00   ;   Registros : 11   ;   ORM
TMVA_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRE_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TPALM_CLI_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TCTA_00   ;   Tempo : 00:00:00   ;   Registros : 11   ;   ORM
TXML_NFSE_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPPD_00   ;   Tempo : 00:00:00   ;   Registros : 8   ;   ORM
TPDC_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFE_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TATB_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRFE_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TSCR_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCPA_00_01   ;   Tempo : 00:00:00   ;   Registros : 72   ;   ORM
TLEE_00_01   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TCTR_00_02   ;   Tempo : 00:00:00   ;   Registros : 91   ;   ORM
TBCX_00_01   ;   Tempo : 00:00:14   ;   Registros : 16487   ;   CopyDataSet
TMEG_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPPD_00_01_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TSCR_00_05   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TTPO_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCLT_XML   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
